순위,이름,팀,WAR,출장,완투,완봉,선발,승,패,세이브,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WPA
1,안우진,22키, 7.92 , 30 , 1 , 0 , 30 , 15 , 8 , 0 , 0 , 196.0 , 51 , 46 , 766 , 131 , 36 , 4 , 4 , 55 , 1 , 4 , 224 , 1 , 7 , 2.11 , 2.21 , 0.95 , 189.3 , 179.1 , 5.65 
2,김광현,22S, 6.10 , 28 , 0 , 0 , 28 , 13 , 3 , 0 , 0 , 173.1 , 48 , 41 , 694 , 141 , 16 , 2 , 10 , 45 , 2 , 5 , 153 , 0 , 1 , 2.13 , 3.15 , 1.07 , 195.5 , 132.7 , 3.63 
3,요키시,22키, 5.68 , 30 , 0 , 0 , 30 , 10 , 8 , 0 , 0 , 185.1 , 61 , 53 , 746 , 169 , 31 , 3 , 8 , 33 , 0 , 5 , 154 , 0 , 2 , 2.57 , 2.85 , 1.09 , 155.4 , 138.8 , 3.57 
4,수아레즈,22삼, 5.28 , 30 , 0 , 0 , 29 , 6 , 8 , 0 , 0 , 173.2 , 61 , 48 , 714 , 151 , 19 , 0 , 7 , 50 , 0 , 4 , 159 , 0 , 6 , 2.49 , 2.96 , 1.16 , 167.8 , 138.0 , 2.70 
5,켈리,22L, 5.19 , 27 , 0 , 0 , 27 , 16 , 4 , 0 , 0 , 166.1 , 50 , 47 , 664 , 144 , 10 , 4 , 10 , 35 , 0 , 2 , 153 , 0 , 3 , 2.54 , 2.95 , 1.08 , 156.3 , 134.7 , 3.45 
6,폰트,22S, 5.19 , 28 , 1 , 0 , 28 , 13 , 6 , 0 , 0 , 184.0 , 63 , 55 , 729 , 141 , 22 , 3 , 18 , 34 , 1 , 6 , 170 , 0 , 5 , 2.69 , 3.40 , 0.95 , 154.7 , 124.1 , 2.91 
7,플럿코,22L, 4.79 , 28 , 0 , 0 , 28 , 15 , 5 , 0 , 0 , 162.0 , 53 , 43 , 644 , 125 , 18 , 2 , 13 , 38 , 2 , 2 , 149 , 0 , 6 , 2.39 , 3.25 , 1.01 , 166.4 , 121.6 , 2.44 
8,고영표,22K, 4.50 , 28 , 1 , 1 , 28 , 13 , 8 , 0 , 0 , 182.1 , 69 , 66 , 758 , 191 , 31 , 3 , 7 , 23 , 1 , 16 , 156 , 0 , 1 , 3.26 , 2.75 , 1.17 , 126.4 , 148.2 , 2.38 
9,루친스키,22N, 4.38 , 31 , 0 , 0 , 31 , 10 , 12 , 0 , 0 , 193.2 , 77 , 64 , 797 , 184 , 34 , 2 , 14 , 34 , 1 , 8 , 194 , 0 , 9 , 2.97 , 2.91 , 1.13 , 136.9 , 140.9 , 2.80 
10,소형준,22K, 4.28 , 27 , 0 , 0 , 27 , 13 , 6 , 0 , 0 , 171.1 , 68 , 58 , 703 , 158 , 16 , 6 , 8 , 39 , 1 , 5 , 117 , 0 , 6 , 3.05 , 3.33 , 1.15 , 135.2 , 122.3 , 1.41 
11,김민수,22K, 4.01 , 76 , 0 , 0 , 0 , 5 , 4 , 3 , 30 , 80.2 , 19 , 17 , 327 , 66 , 13 , 1 , 3 , 15 , 3 , 6 , 91 , 0 , 6 , 1.90 , 2.24 , 1.00 , 217.1 , 182.9 , 2.33 
12,구창모,22N, 3.96 , 19 , 0 , 0 , 19 , 11 , 5 , 0 , 0 , 111.2 , 32 , 26 , 451 , 92 , 16 , 0 , 7 , 29 , 0 , 4 , 108 , 0 , 7 , 2.10 , 3.11 , 1.08 , 194.4 , 132.0 , 2.49 
13,뷰캐넌,22삼, 3.80 , 26 , 1 , 1 , 26 , 11 , 8 , 0 , 0 , 160.0 , 61 , 54 , 691 , 176 , 28 , 2 , 10 , 39 , 0 , 8 , 117 , 0 , 2 , 3.04 , 3.57 , 1.34 , 137.4 , 115.2 , 1.83 
14,고우석,22L, 3.71 , 61 , 0 , 0 , 0 , 4 , 2 , 42 , 0 , 60.2 , 12 , 10 , 240 , 37 , 7 , 1 , 6 , 21 , 4 , 1 , 80 , 0 , 5 , 1.48 , 2.88 , 0.96 , 267.9 , 136.1 , 3.49 
